id,address_state,application_type,emp_length,emp_title,grade,home_ownership,issue_date,last_credit_pull_date,last_payment_date,loan_status,next_payment_date,member_id,purpose,sub_grade,term,verification_status,annual_income,dti,installment,int_rate,loan_amount,total_acc,total_payment
659221,MI,INDIVIDUAL,3 years,rice &werthmann,A,MORTGAGE,2021-01-11,2021-05-16,2021-10-13,Charged Off,2021-11-13,843127,Car,A5,36 months,Not Verified,86400.00,0.0385,280.62,0.0766,9000.00,10,8945.00
782425,UT,INDIVIDUAL,6 years,Five County Assoc of Governments,A,MORTGAGE,2021-06-11,2021-05-16,2021-07-12,Charged Off,2021-08-12,985412,Car,A5,36 months,Not Verified,24600.00,0.0785,152.42,0.0890,4800.00,21,1978.00
458328,GA,INDIVIDUAL,< 1 year,north ga dentention center,B,MORTGAGE,2021-01-10,2021-10-11,2021-07-10,Charged Off,2021-08-10,570309,Car,B2,36 months,Not Verified,30000.00,0.0992,164.85,0.1148,5000.00,19,884.00
744344,WA,INDIVIDUAL,6 years,Unspecified,B,MORTGAGE,2021-05-11,2021-05-16,2021-01-13,Charged Off,2021-02-13,942813,Car,B4,36 months,Not Verified,48000.00,0.2357,197.83,0.1149,6000.00,27,3950.00
1026463,FL,INDIVIDUAL,6 years,sky powersports,C,MORTGAGE,2021-11-11,2021-04-14,2021-12-13,Charged Off,2022-01-13,1255647,Car,C3,36 months,Not Verified,60000.00,0.0366,217.32,0.1465,6300.00,10,5554.00
489679,FL,INDIVIDUAL,2 years,Synovus Bank,D,MORTGAGE,2021-03-10,2021-12-12,2021-07-12,Charged Off,2021-08-12,624878,Car,D4,36 months,Not Verified,34000.00,0.1486,210.07,0.1570,6000.00,6,5986.00
519658,GA,INDIVIDUAL,< 1 year,ACUMEN FISCAL AGENT/MS ROBINSON,A,OWN,2021-05-10,2021-12-01,2021-08-11,Charged Off,2021-09-11,671773,Car,A5,36 months,Not Verified,18000.00,0.2160,148.59,0.0788,4750.00,16,2216.00
470041,CA,INDIVIDUAL,10+ years,inspired automation inc,A,OWN,2021-01-10,2021-12-03,2021-10-11,Charged Off,2021-11-11,593245,Car,A1,36 months,Not Verified,43800.00,0.0737,148.32,0.0705,4800.00,7,3210.00
393852,NH,INDIVIDUAL,10+ years,self,B,OWN,2021-05-09,2021-11-06,2021-01-11,Charged Off,2021-02-11,432187,Car,B4,36 months,Not Verified,98736.00,0.0812,50.58,0.1189,9000.00,19,1045.00
725534,TX,INDIVIDUAL,1 year,Able Electronics,B,OWN,2021-04-11,2021-12-13,2021-07-13,Charged Off,2021-08-13,920793,Car,B4,36 months,Not Verified,48000.00,0.0510,60.34,0.1074,1850.00,45,1655.00
428387,PA,INDIVIDUAL,< 1 year,Abraxas I,C,OWN,2021-07-09,2021-05-16,2021-10-09,Charged Off,2021-11-09,506847,Car,C2,36 months,Not Verified,27852.00,0.1021,141.20,0.1284,4200.00,28,282.00
783561,CA,INDIVIDUAL,6 years,La curacao,A,RENT,2021-06-11,2021-12-06,2021-02-12,Charged Off,2021-03-12,986688,Car,A4,36 months,Not Verified,48000.00,0.2585,186.61,0.0749,6000.00,16,1575.00
969474,HI,INDIVIDUAL,7 years,Outback Steakhouse,A,RENT,2021-10-11,2021-03-14,2021-10-13,Charged Off,2021-11-13,1190684,Car,A5,36 months,Not Verified,30000.00,0.1872,228.63,0.0890,7200.00,25,5845.00
773111,WA,INDIVIDUAL,3 years,URS corp,A,RENT,2021-06-11,2021-04-14,2021-11-13,Charged Off,2021-12-13,975126,Car,A5,36 months,Not Verified,22800.00,0.0526,75.76,0.0849,2400.00,3,2278.00
472634,FL,INDIVIDUAL,1 year,walmart,A,RENT,2021-12-09,2021-11-04,2021-11-10,Charged Off,2021-12-10,596856,Car,A1,36 months,Not Verified,12720.00,0.0000,231.75,0.0705,7500.00,9,2073.00
494891,MA,INDIVIDUAL,5 years,EdgeStream Inc,B,RENT,2021-03-10,2021-04-16,2021-03-11,Charged Off,2021-04-11,633723,Car,B5,36 months,Not Verified,31000.00,0.0159,182.66,0.1136,5550.00,5,2083.00
458797,NV,INDIVIDUAL,8 years,MAD MATT'S Bar & Grille,B,RENT,2021-11-09,2021-11-11,2021-07-11,Charged Off,2021-08-11,571361,Car,B2,36 months,Not Verified,89650.00,0.0056,725.31,0.1148,22000.00,19,15424.00
743690,OK,INDIVIDUAL,3 years,Dominos Pizza,B,RENT,2021-05-11,2021-02-15,2021-06-12,Charged Off,2021-07-12,942003,Car,B5,36 months,Not Verified,45000.00,0.1464,332.10,0.1199,10000.00,18,4553.00
384963,NJ,INDIVIDUAL,10+ years,Pesci Family,B,RENT,2021-03-09,2021-11-07,2021-03-11,Charged Off,2021-04-11,416412,Car,B1,36 months,Not Verified,39996.00,0.2298,261.71,0.1095,8000.00,43,6197.00
508426,OH,INDIVIDUAL,< 1 year,Forum Health,B,RENT,2021-05-10,2021-05-16,2021-12-11,Charged Off,2022-01-11,656002,Car,B4,36 months,Not Verified,49800.00,0.1740,163.68,0.1099,5000.00,13,3110.00
402318,IL,INDIVIDUAL,8 years,River Trails Park District,B,RENT,2021-05-09,2021-12-03,2021-10-11,Charged Off,2021-11-11,446914,Car,B5,36 months,Not Verified,15000.00,0.1688,106.61,0.1221,3200.00,19,3140.00
359401,CA,INDIVIDUAL,2 years,DMS Marketing,C,RENT,2021-10-08,2021-05-16,2021-09-09,Charged Off,2021-10-09,366581,Car,C3,36 months,Not Verified,48000.00,0.1753,200.47,0.1241,6000.00,14,5104.00
290803,TX,INDIVIDUAL,< 1 year,Nesle,C,RENT,2021-03-08,2021-10-12,2021-08-10,Charged Off,2021-09-10,290796,Car,C2,36 months,Not Verified,37440.00,0.0772,98.70,0.1134,3000.00,14,2798.00
847836,AZ,INDIVIDUAL,7 years,24 hour fitness,C,RENT,2021-08-11,2021-05-16,2021-05-13,Charged Off,2021-06-13,1059380,Car,C3,36 months,Not Verified,105000.00,0.1350,382.74,0.1399,11200.00,29,8037.00
362098,FL,INDIVIDUAL,2 years,Starbucks,D,RENT,2021-11-08,2021-11-01,2021-08-10,Charged Off,2021-09-10,371139,Car,D2,36 months,Not Verified,15000.00,0.1400,136.08,0.1367,4000.00,13,2685.00
1044994,CA,INDIVIDUAL,4 years,URS Corp,D,RENT,2021-12-11,2021-05-16,2021-03-14,Charged Off,2021-04-14,1275383,Car,D2,36 months,Not Verified,59100.00,0.1287,106.62,0.1677,3000.00,13,2772.00
734343,NY,INDIVIDUAL,4 years,Berean Group,B,MORTGAGE,2021-04-11,2021-03-14,2021-10-13,Charged Off,2021-11-13,930853,Car,B2,36 months,Not Verified,126000.00,0.1529,193.61,0.1000,6000.00,22,5796.00
126392,WI,INDIVIDUAL,< 1 year,Tideway Systems,A,MORTGAGE,2021-09-07,2021-07-08,2021-04-08,Fully Paid,2021-05-08,125914,Car,A4,36 months,Not Verified,173000.00,0.0072,313.67,0.0807,10000.00,41,10435.00
269289,CT,INDIVIDUAL,< 1 year,mdm golf,A,MORTGAGE,2021-03-08,2021-11-01,2021-10-10,Fully Paid,2021-11-10,260821,Car,A5,36 months,Not Verified,60000.00,0.0894,316.28,0.0863,10000.00,27,11340.00
266282,TX,INDIVIDUAL,5 years,"NetVida Marketing, Inc.",B,MORTGAGE,2021-02-08,2021-10-05,2021-05-10,Fully Paid,2021-06-10,188654,Car,B2,36 months,Not Verified,40000.00,0.1872,257.24,0.0976,8000.00,35,9149.00
243406,NJ,INDIVIDUAL,9 years,CK General Construction,B,MORTGAGE,2021-02-08,2021-12-09,2021-02-11,Fully Paid,2021-03-11,243089,Car,B2,36 months,Not Verified,200000.00,0.0484,192.93,0.0976,6000.00,22,6945.00
226154,MN,INDIVIDUAL,10+ years,Ramsey County,E,MORTGAGE,2021-01-08,2021-11-01,2021-02-11,Fully Paid,2021-03-11,225530,Car,E1,36 months,Not Verified,72000.00,0.2257,170.72,0.1393,5000.00,44,6146.00
253727,WA,INDIVIDUAL,2 years,Central Washington Hospital,A,OWN,2021-02-08,2021-10-09,2021-09-10,Fully Paid,2021-10-10,253715,Car,A5,36 months,Not Verified,10000.00,0.0000,142.33,0.0863,4500.00,6,5096.00
196380,CA,INDIVIDUAL,10+ years,Comerica Bank,A,RENT,2021-01-08,2021-10-02,2021-02-10,Fully Paid,2021-03-10,188466,Car,A4,36 months,Not Verified,62000.00,0.1407,345.06,0.0807,11000.00,23,12247.00
206181,MA,INDIVIDUAL,< 1 year,Lexington Alarm Systems,A,RENT,2021-01-08,2021-04-16,2021-04-10,Fully Paid,2021-05-10,167318,Car,A1,36 months,Not Verified,28800.00,0.0000,108.27,0.0712,3500.00,5,3863.00
219070,CO,INDIVIDUAL,2 years,Arborist Services,B,RENT,2021-02-08,2021-10-09,2021-09-10,Fully Paid,2021-10-10,219037,Car,B5,36 months,Not Verified,50000.00,0.0506,194.91,0.1046,6000.00,21,6982.00
219000,WA,INDIVIDUAL,3 years,Evergreen Treatment Services,B,RENT,2021-01-08,2021-11-01,2021-01-11,Fully Paid,2021-02-11,218997,Car,B1,36 months,Not Verified,37000.00,0.1674,175.42,0.0920,5500.00,36,6320.00
281384,TN,INDIVIDUAL,< 1 year,Church of God of Prophecy,C,RENT,2021-03-08,2021-11-03,2021-03-11,Fully Paid,2021-04-11,281309,Car,C3,36 months,Not Verified,54263.00,0.1238,115.69,0.1166,3500.00,23,4164.00
120525,VA,INDIVIDUAL,1 year,Starbucks,C,RENT,2021-08-07,2021-11-06,2021-08-10,Fully Paid,2021-09-10,120227,Car,C3,36 months,Not Verified,18000.00,0.1800,130.79,0.1091,4000.00,5,4708.00
253987,VA,INDIVIDUAL,2 years,Comcast,C,RENT,2021-02-08,2021-05-16,2021-06-10,Fully Paid,2021-07-10,253974,Car,C1,36 months,Not Verified,41000.00,0.1692,98.26,0.1103,3000.00,16,3498.00
450292,CT,INDIVIDUAL,1 year,Newcomb Spring,A,MORTGAGE,2021-10-09,2021-02-16,2021-10-12,Fully Paid,2021-11-12,553755,Car,A2,36 months,Not Verified,85000.00,0.0239,136.66,0.0740,4400.00,19,4920.00
401775,GA,INDIVIDUAL,1 year,Chemlink Laboratories,A,MORTGAGE,2021-05-09,2021-12-05,2021-05-12,Fully Paid,2021-06-12,446077,Car,A2,36 months,Not Verified,28500.00,0.0223,265.13,0.0768,8500.00,10,9544.00
373881,TX,INDIVIDUAL,1 year,Jesuit College Preparatory School,A,MORTGAGE,2021-01-09,2021-11-02,2021-02-11,Fully Paid,2021-03-11,394401,Car,A2,36 months,Not Verified,40308.00,0.0578,155.96,0.0768,5000.00,19,5422.00
973780,TX,INDIVIDUAL,1 year,Diamond Offshore,A,MORTGAGE,2021-10-11,2021-10-14,2021-10-14,Fully Paid,2021-11-14,1195796,Car,A2,36 months,Not Verified,149400.00,0.0994,214.93,0.0662,7000.00,43,7737.00
750759,WI,INDIVIDUAL,1 year,BRP US Inc,A,MORTGAGE,2021-06-11,2021-06-14,2021-06-14,Fully Paid,2021-07-14,950147,Car,A2,36 months,Not Verified,54000.00,0.1129,60.84,0.0599,2000.00,18,2190.00
745149,OH,INDIVIDUAL,1 year,Independant Contractor,A,MORTGAGE,2021-05-11,2021-05-16,2021-05-14,Fully Paid,2021-06-14,943695,Car,A3,36 months,Not Verified,38400.00,0.0319,74.10,0.0699,2400.00,7,2667.00
775926,MO,INDIVIDUAL,1 year,Northwwind Engineering,A,MORTGAGE,2021-06-11,2021-06-14,2021-06-14,Fully Paid,2021-07-14,978223,Car,A4,36 months,Not Verified,60000.00,0.0242,149.29,0.0749,4800.00,6,5374.00
651079,RI,INDIVIDUAL,1 year,Fakouri Electrical,A,MORTGAGE,2021-01-11,2021-01-14,2021-01-14,Fully Paid,2021-02-14,832879,Car,A4,36 months,Not Verified,58000.00,0.2127,124.04,0.0729,4000.00,24,4466.00
627209,MD,INDIVIDUAL,10+ years,Second Empire Furniture Inc.,A,MORTGAGE,2021-12-10,2021-10-14,2021-12-13,Fully Paid,2022-01-13,803704,Car,A1,36 months,Not Verified,31000.00,0.0283,241.28,0.0542,8000.00,17,8686.00
781516,MO,INDIVIDUAL,10+ years,state of missouri department of correcti,A,MORTGAGE,2021-06-11,2021-11-07,2021-08-11,Fully Paid,2021-09-11,984370,Car,A1,36 months,Not Verified,33600.00,0.0161,90.48,0.0542,3000.00,15,3014.00
971771,CA,INDIVIDUAL,10+ years,"Stafford Meat Co., Inc.",A,MORTGAGE,2021-10-11,2021-05-16,2021-10-14,Fully Paid,2021-11-14,1193520,Car,A1,36 months,Not Verified,64320.00,0.0250,243.49,0.0603,8000.00,17,8765.00
796355,RI,INDIVIDUAL,10+ years,Local 51,A,MORTGAGE,2021-06-11,2021-04-16,2021-07-14,Fully Paid,2021-08-14,1001198,Car,A1,36 months,Not Verified,79200.00,0.0218,150.80,0.0542,5000.00,28,5429.00
868443,DE,INDIVIDUAL,10+ years,Bank of America,A,MORTGAGE,2021-09-11,2021-05-16,2021-04-14,Fully Paid,2021-05-14,1082151,Car,A1,36 months,Not Verified,63996.00,0.0651,96.52,0.0542,3200.00,26,3468.00
683816,NY,INDIVIDUAL,10+ years,operating engineers local 158,A,MORTGAGE,2021-03-11,2021-11-09,2021-09-11,Fully Paid,2021-10-11,873188,Car,A1,36 months,Not Verified,72000.00,0.2075,223.19,0.0542,7400.00,23,7556.00
1023029,PA,INDIVIDUAL,10+ years,williams service co,A,MORTGAGE,2021-11-11,2021-11-14,2021-12-14,Fully Paid,2022-01-14,1251828,Car,A1,36 months,Not Verified,72000.00,0.1782,152.18,0.0603,5000.00,37,5478.00
886517,NM,INDIVIDUAL,10+ years,"C&E Concrete,inc.",A,MORTGAGE,2021-09-11,2021-09-14,2021-10-14,Fully Paid,2021-11-14,1102391,Car,A1,36 months,Not Verified,41784.00,0.1872,152.18,0.0603,5000.00,22,5478.00
1001581,TX,INDIVIDUAL,10+ years,BASF Corporation,A,MORTGAGE,2021-10-11,2021-05-16,2021-10-13,Fully Paid,2021-11-13,1227382,Car,A1,36 months,Not Verified,96000.00,0.2380,182.62,0.0603,6000.00,27,6493.00
1004019,NY,INDIVIDUAL,10+ years,village of solvay dpw,A,MORTGAGE,2021-10-11,2021-04-16,2021-08-14,Fully Paid,2021-09-14,1230439,Car,A1,36 months,Not Verified,54000.00,0.2407,182.62,0.0603,6000.00,32,6569.00
675716,NV,INDIVIDUAL,10+ years,Gideon Toal/U.P.R Inc.,A,MORTGAGE,2021-02-11,2021-04-14,2021-03-14,Fully Paid,2021-04-14,863546,Car,A1,36 months,Not Verified,36000.00,0.2293,271.44,0.0542,9000.00,47,9772.00
887254,MN,INDIVIDUAL,10+ years,City of West St Paul,A,MORTGAGE,2021-10-11,2021-05-16,2021-11-14,Fully Paid,2021-12-14,1103400,Car,A1,36 months,Not Verified,114000.00,0.1658,219.14,0.0603,7200.00,52,7889.00
865714,TX,INDIVIDUAL,10+ years,Harris County,A,MORTGAGE,2021-09-11,2021-05-16,2021-08-13,Fully Paid,2021-09-13,1078994,Car,A1,36 months,Not Verified,48000.00,0.1732,170.41,0.0542,5650.00,32,6067.00
770503,LA,INDIVIDUAL,10+ years,LSU MEDICAL CENTER OF LOUISIANA,A,MORTGAGE,2021-06-11,2021-12-01,2021-01-12,Fully Paid,2021-02-12,972180,Car,A2,36 months,Not Verified,39600.00,0.1406,182.51,0.0599,6000.00,32,6194.00
548151,NJ,INDIVIDUAL,10+ years,ABERDEEN TWSP,A,MORTGAGE,2021-07-10,2021-05-16,2021-08-13,Fully Paid,2021-09-13,706758,Car,A2,36 months,Not Verified,108000.00,0.1976,107.69,0.0676,3500.00,37,3877.00
542312,FL,INDIVIDUAL,10+ years,Micros Systems Inc.,A,MORTGAGE,2021-07-10,2021-05-16,2021-07-13,Fully Paid,2021-08-13,699868,Car,A2,36 months,Not Verified,57431.00,0.0618,123.07,0.0676,4000.00,21,4431.00
1008323,AR,INDIVIDUAL,10+ years,Arkansas Department Of Correction,A,MORTGAGE,2021-11-11,2021-12-15,2021-12-14,Fully Paid,2022-01-14,1234988,Car,A3,36 months,Not Verified,32468.80,0.2935,186.67,0.0751,6000.00,16,6714.00
457893,AR,INDIVIDUAL,10+ years,Kroger,A,MORTGAGE,2021-11-09,2021-12-11,2021-11-12,Fully Paid,2021-12-12,569597,Car,A3,36 months,Not Verified,26000.00,0.0429,218.54,0.0774,7000.00,11,7867.00
451579,OH,INDIVIDUAL,10+ years,Alliance Data Systems,A,MORTGAGE,2021-10-09,2021-06-14,2021-03-12,Fully Paid,2021-04-12,556476,Car,A3,36 months,Not Verified,75000.00,0.0234,156.10,0.0774,5000.00,21,5584.00
1027822,KY,INDIVIDUAL,10+ years,City of Madisonville,A,MORTGAGE,2021-11-11,2021-05-16,2021-08-14,Fully Paid,2021-09-14,1257204,Car,A3,36 months,Not Verified,58000.00,0.2692,56.00,0.0751,1800.00,28,2013.00
700052,NC,INDIVIDUAL,10+ years,RCCG - Victory Temple,A,MORTGAGE,2021-04-11,2021-11-15,2021-04-14,Fully Paid,2021-05-14,891691,Car,A3,36 months,Not Verified,50000.00,0.2030,308.41,0.0692,10000.00,32,11103.00
661459,OH,INDIVIDUAL,10+ years,Atkins and Pearce,A,MORTGAGE,2021-02-11,2021-02-14,2021-02-14,Fully Paid,2021-03-14,845936,Car,A4,36 months,Not Verified,48000.00,0.1988,201.57,0.0729,6500.00,24,7257.00
768140,CA,INDIVIDUAL,10+ years,Orchard Supply Hardware,A,MORTGAGE,2021-05-11,2021-12-12,2021-12-12,Fully Paid,2022-01-12,969361,Car,A4,36 months,Not Verified,73000.00,0.1433,155.51,0.0749,5000.00,23,5312.00
823069,CT,INDIVIDUAL,10+ years,Custom Phone Inc,A,MORTGAGE,2021-07-11,2021-12-11,2021-11-12,Fully Paid,2021-12-12,1031607,Car,A4,36 months,Not Verified,68000.00,0.0286,248.82,0.0749,8000.00,13,8615.00
761499,GA,INDIVIDUAL,10+ years,Greif LLC,A,MORTGAGE,2021-05-11,2021-08-14,2021-06-14,Fully Paid,2021-07-14,961964,Car,A4,36 months,Not Verified,112992.00,0.1825,248.82,0.0749,8000.00,25,8957.00
390651,VA,INDIVIDUAL,10+ years,Girard Engineering,A,MORTGAGE,2021-04-09,2021-07-15,2021-04-12,Fully Paid,2021-05-12,425903,Car,A4,36 months,Not Verified,135000.00,0.0518,255.58,0.0932,8000.00,14,9201.00
483645,GA,INDIVIDUAL,10+ years,AT&T,A,MORTGAGE,2021-02-10,2021-02-13,2021-02-13,Fully Paid,2021-03-13,615502,Car,A4,36 months,Not Verified,75181.00,0.1831,186.66,0.0751,6000.00,30,6720.00
866551,IL,INDIVIDUAL,10+ years,City of Chicago,A,MORTGAGE,2021-09-11,2021-09-14,2021-09-14,Fully Paid,2021-10-14,1079988,Car,A4,36 months,Not Verified,110400.00,0.1916,93.31,0.0749,3000.00,41,3359.00
394295,CA,INDIVIDUAL,10+ years,Downey welding,A,MORTGAGE,2021-04-09,2021-12-05,2021-05-12,Fully Paid,2021-06-12,432897,Car,A5,36 months,Not Verified,48000.00,0.1257,481.42,0.0963,15000.00,31,17331.00
472637,TX,INDIVIDUAL,2 years,Accenture,A,MORTGAGE,2021-12-09,2021-11-12,2021-12-11,Fully Paid,2022-01-11,596861,Car,A1,36 months,Not Verified,54000.00,0.0267,268.83,0.0705,8700.00,15,9538.00
732697,CO,INDIVIDUAL,2 years,Corvirtus,A,MORTGAGE,2021-04-11,2021-10-15,2021-05-14,Fully Paid,2021-06-14,928926,Car,A1,36 months,Not Verified,85000.00,0.0400,168.90,0.0542,5600.00,36,6080.00
628369,TX,INDIVIDUAL,2 years,Cricket Communications,A,MORTGAGE,2021-12-10,2021-12-13,2021-12-13,Fully Paid,2022-01-13,805177,Car,A3,36 months,Not Verified,36000.00,0.1997,54.90,0.0617,1800.00,21,1977.00
842807,NY,INDIVIDUAL,2 years,walmart distribution,A,MORTGAGE,2021-08-11,2021-05-16,2021-08-14,Fully Paid,2021-09-14,1053506,Car,A4,36 months,Not Verified,36000.00,0.1883,217.72,0.0749,7000.00,13,7838.00
564180,CA,INDIVIDUAL,3 years,California Department of Justice,A,MORTGAGE,2021-08-10,2021-08-13,2021-09-13,Fully Paid,2021-10-13,725950,Car,A1,36 months,Not Verified,120000.00,0.0520,140.76,0.0639,4600.00,42,5068.00
464609,AZ,INDIVIDUAL,3 years,Mesa Fire Department,A,MORTGAGE,2021-12-09,2021-05-16,2021-03-10,Fully Paid,2021-04-10,582432,Car,A2,36 months,Not Verified,60000.00,0.1004,62.12,0.0740,2000.00,14,2036.00
